generacion,optimal,avg,dominio
42,10167.0,10827.52,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
43,10167.0,10814.74,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
44,10167.0,10822.3,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
45,10167.0,10808.72,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
46,10167.0,10811.85,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
47,10167.0,10805.54,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
48,10167.0,10808.19,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
49,10167.0,10804.0,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
50,10167.0,10815.16,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
51,10167.0,10820.99,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
52,10167.0,10796.71,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
53,10167.0,10796.05,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
54,10167.0,10815.8,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
55,10167.0,10808.63,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
56,10167.0,10780.27,"[0.84593458 0.45027593 0.83474307 0.35013156 0.40770509 0.96139561
 0.57579432 0.45114513 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
57,10153.0,10800.09,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
58,10153.0,10814.48,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
59,10153.0,10798.56,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
60,10153.0,10828.59,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
61,10153.0,10844.66,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
62,10153.0,10832.91,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
63,10153.0,10831.13,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
64,10153.0,10833.79,"[0.3185139  0.97262373 0.7758868  0.08452823 0.28363738 0.84198046
 0.93454931 0.98267231 0.92920294 0.76209482 0.73319609 0.76583278
 0.49879663 0.98787183 0.94827366]"
